LabelID,Mean,StdD,Max,Min,Count,Vol(mm^3),Extent_X,Extent_Y,Extent_Z
0,0.34333,0.42183,1.663,0.0,19965190,10222178.499,222,300,300
1,0.49206,0.03883,0.5878,0.4317,20,10.24,3,6,4
2,0.73477,0.07243,0.8473,0.6036,21,10.752,4,4,5
3,0.58517,0.05575,0.6767,0.4413,28,14.336,4,5,5
4,0.70429,0.07566,0.8685,0.5887,31,15.872,3,5,4
5,0.63253,0.10005,0.8212,0.4438,33,16.896,5,6,2
6,0.79539,0.04531,0.8818,0.6952,35,17.92,5,5,3
7,0.69756,0.07577,0.8695,0.5784,46,23.552,7,5,3
8,0.61962,0.07781,0.8086,0.4286,47,24.064,5,8,4
9,0.69649,0.06201,0.8534,0.6237,57,29.184,4,6,6
10,0.66889,0.06151,0.8303,0.543,62,31.744,4,6,4
11,0.70518,0.05513,0.8333,0.6102,63,32.256,9,10,8
12,0.73111,0.10552,0.9414,0.5555,68,34.816,6,6,4
13,0.69759,0.09143,0.9482,0.5469,82,41.984,5,8,7
14,0.56751,0.04252,0.6695,0.4688,85,43.52,6,20,5
15,0.75261,0.07657,0.8764,0.5271,86,44.032,5,17,9
16,0.68402,0.04792,0.8057,0.5843,110,56.32,9,20,7
17,0.74979,0.115,0.8877,0.4939,115,58.88,4,18,4
18,0.59477,0.05906,0.7531,0.4883,131,67.072,11,20,9
19,0.68351,0.0816,0.8671,0.5439,132,67.584,7,11,5
20,0.46743,0.04305,0.6102,0.3886,137,70.144,7,9,8
21,0.60204,0.06265,0.7802,0.4592,170,87.04,7,6,9
22,0.63296,0.06572,0.8616,0.5203,209,107.008,6,9,9
23,0.67127,0.06143,0.8198,0.5384,220,112.64,9,13,8
24,0.59697,0.07442,0.8969,0.4752,241,123.392,10,24,11
25,0.7017,0.07992,0.9678,0.5482,257,131.584,9,14,6
26,0.53338,0.07076,0.7499,0.3515,268,137.216,8,13,13
27,0.53336,0.04484,0.6773,0.41,373,190.976,21,18,18
28,0.73903,0.05045,0.8985,0.6233,392,200.704,15,13,11
29,0.67141,0.07295,0.8864,0.5264,414,211.968,7,15,10
30,0.66706,0.05177,0.8423,0.5528,505,258.56,14,13,11
31,0.5474,0.07008,0.8612,0.3821,570,291.84,29,36,27
32,0.70913,0.09316,0.9907,0.3968,706,361.472,12,31,13
33,0.64246,0.07471,0.8741,0.4621,745,381.44,13,20,20
34,0.67774,0.0651,0.8796,0.55,691,353.792,16,19,8
35,0.70786,0.12257,0.9895,0.3261,686,351.232,15,22,18
36,0.665,0.0783,0.9008,0.5255,946,484.352,15,27,12
37,0.64979,0.13019,0.9708,0.3325,1084,555.008,11,80,26
38,0.67096,0.07174,0.9628,0.4962,1515,775.68,15,36,20
39,0.71945,0.09517,0.9461,0.4294,2440,1249.28,18,49,34
69,0.67908,0.06786,0.9261,0.5736,357,182.784,12,10,7
70,0.82053,0.10338,1.0235,0.6261,379,194.048,14,10,7
71,0.71848,0.10379,0.9365,0.5399,253,129.536,8,9,8
